Número Consecutivo,Título,Autor,Sinopsis,Género,Año,URL Preview
1,CONTAR_LA_PLATA-MAXIMILIANO_ALVAREZ,"ALVAREZ, MAXIMILIANO",Relato autobiográfico sobre las vivencias de un joven en su primer empleo bancario en el Uruguay de los años 2000.,Literatura Uruguaya,2017,https://drive.google.com/file/d/1MBx1VQFyhITWiOvbndRxAUF7qb4aCM1l/preview
2,Meditaciones Gredos - Marco Aurelio Antonino Augusto,"ANTONIO AUGUSTO, MARCO AURELIO","Reflexiones filosóficas del emperador romano sobre la ética, la virtud y el autocontrol bajo la doctrina estoica.",Filosofía,180,https://drive.google.com/file/d/19t3RDIqkR0uNIgeZikt7dNTULMyc89E2/preview
3,La flecha del dios - Chinua Achebe,"Achebe, Chinua",Un sacerdote del dios Ulu lucha por mantener la tradición frente a la influencia del colonialismo británico en Nigeria.,Novela,1964,https://drive.google.com/file/d/1mdWnz7OsqoE3mmHYFFM5hIDBjOOszvPd/preview
4,Me alegraria de otra muerte - Chinua Achebe,"Achebe, Chinua","Obi Okonkwo, un joven educado en Occidente, regresa a Lagos y sucumbe a las presiones de la corrupción y la tradición.",Novela,1960,https://drive.google.com/file/d/1SCVMJHXz6wAeVYgMgzQkn7dSa39L-egC/preview
5,Todo se derrumba - Chinua Achebe,"Achebe, Chinua",Crónica de la caída de un guerrero igbo y la desintegración de su cultura tras la llegada de misioneros europeos.,Novela,1958,https://drive.google.com/file/d/14qlAe13byfqC1cUemTvDbjCRO3HGXOFH/preview
6,Cuestiones sobre el Heptateuco - BAC-XXVII - San Agustin,"Agustin, San",Tratado teológico que analiza y comenta los primeros siete libros de la Biblia desde una perspectiva exegética.,Teología,419,https://drive.google.com/file/d/1Xx7a2a5L55hv9uDtwobQwDEIQyv3nPyX/preview
7,De la vida feliz - BAC Libro I - San Agustin,"Agustin, San","Diálogo filosófico que explora la relación entre la felicidad, el conocimiento de la verdad y la búsqueda de Dios.",Filosofía,386,https://drive.google.com/file/d/12bkFFeDzPiaDq2WcaWE2J2BsAsnfG32f/preview
8,La ciudad de Dios - San Agustin,"Agustin, San","Obra monumental que defiende el cristianismo frente al paganismo, contrastando la ciudad terrenal con la ciudad celestial.",Teología,426,https://drive.google.com/file/d/1_YIzI6LfPqxBb2bp-Px6bQ_n9dvbW183/preview
9,Libre Albedrio - BAC - Libro III - San Agustin,"Agustin, San","Investigación sobre la voluntad humana, el origen del mal y la justicia divina en la creación.",Filosofía,395,https://drive.google.com/file/d/1EhtYX9ld-l0dkWhz5pwe76jZ5dmWnXkY/preview
10,Los Soliloquios - BAC Libro I - San Agustin,"Agustin, San",Diálogo íntimo entre el autor y su propia razón sobre el conocimiento del alma y de Dios.,Filosofía,387,https://drive.google.com/file/d/18PkbE51qCLAsvu5aKr0a_mAjjwJVTTpF/preview
11,Mujercitas-Alcott_Louisa_May,"Alcott, Louisa May",Historia del crecimiento y las aspiraciones de las cuatro hermanas March durante la Guerra Civil estadounidense.,Novela,1868,https://drive.google.com/file/d/159Vo8hx4T_Rqvr380urRhz4aR9VrUaix/preview
