id,titulo,autor
2,Meditaciones Gredos,Marco Aurelio Antonio Augusto
3,La flecha del dios,Chinua Achebe
4,Me alegraria de otra muerte,Chinua Achebe
5,Todo se derrumba,Chinua Achebe
6,Cuestiones sobre el Heptateuco - BAC-XXVII,San Agustin
7,De la vida feliz - BAC Libro I,San Agustin
8,La ciudad de Dios,San Agustin
9,Libre Albedrio - BAC - Libro III,San Agustin
10,Los Soliloquios - BAC Libro I,San Agustin
11,Mujercitas,Louisa May Alcott
12,Convivio,Dante Alighieri
13,La vida nueva,Dante Alighieri
14,La divina comedia,Dante Alighieri
15,Monarquia,Dante Alighieri
16,Chevalier Auguste Dupin y la carta robada,Edgar Allan Poe
17,Cuentos (trad. Julio Gomez de la Serna),Edgar Allan Poe
18,Cuentos completos (Penguin Clasicos),Edgar Allan Poe
19,Cuentos completos,Edgar Allan Poe
20,Cuentos de imaginacion y misterio,Edgar Allan Poe
21,El Cuervo,Edgar Allan Poe
22,El barril de amontillado,Edgar Allan Poe
23,El escarabajo de oro y otros cuentos (Ilus,Edgar Allan Poe
24,El gato negro (Ilustrado),Edgar Allan Poe
25,El pozo y el pendulo y otras historias esp,Edgar Allan Poe
26,Eureka,Edgar Allan Poe
27,Historias extraordinarias,Edgar Allan Poe
28,La caida de la Casa Usher (Ilustrado),Edgar Allan Poe
29,La carta robada,Edgar Allan Poe
30,La ciencia-ficcion de Edgar Allan Poe,Edgar Allan Poe
31,La narracion de A. Gordon Pym (Ilustrado),Edgar Allan Poe
32,Los casos de Monsieur Dupin,Edgar Allan Poe
33,Los extraordinarios casos de monsieur Dupi,Edgar Allan Poe
34,Manuscrito hallado en una botella,Edgar Allan Poe
35,Narracion de Arthur Gordon Pym,Edgar Allan Poe
36,Narrativa completa (trad. Julio Gomez de l,Edgar Allan Poe
37,Afrodita,Isabel Allende
38,Amor,Isabel Allende
39,Cuentos de Eva Luna,Isabel Allende
40,De amor y de sombra,Isabel Allende
41,El Juego de Ripper,Isabel Allende
42,El Zorro Comienza la leyenda,Isabel Allende
43,El amante japones,Isabel Allende
44,El bosque de los pigmeos,Isabel Allende
45,El cuaderno de Maya,Isabel Allende
46,El plan infinito,Isabel Allende
47,El reino del Dragon de Oro,Isabel Allende
48,El sexo y yo,Isabel Allende
49,Eva Luna,Isabel Allende
50,Hija de la fortuna,Isabel Allende
51,Ines del alma mia,Isabel Allende
52,La casa de los espiritus,Isabel Allende
53,La ciudad de las bestias,Isabel Allende
54,La gorda de porcelana,Isabel Allende
55,La isla bajo el mar,Isabel Allende
56,La suma de los dias,Isabel Allende
57,Largo petalo de mar,Isabel Allende
58,Los amantes del Guggenheim. El oficio de c,Isabel Allende
59,Mas alla del invierno,Isabel Allende
60,Mi pais inventado,Isabel Allende
61,Mujeres del alma mia,Isabel Allende
62,Paula,Isabel Allende
63,Retrato en sepia,Isabel Allende
64,La sombra,Hans Christian Andersen
65,Las habichuelas magicas,Hans Christian Andersen
66,Yo se por que canta el pajaro enjaulado,Maya Angelou
67,Evangelio de Judas,Anonimo
68,Kamasutra el arte de amar,Anonimo
69,Las mil y una noches,Anonimo
70,Correspondencia 1925-1975,Hannah Arendt
71,Crisis de la Republica,Hannah Arendt
72,Eichmann en Jerusalen,Hannah Arendt
73,Hombres en tiempos de oscuridad,Hannah Arendt
74,Karl Marx y la tradicion del pensamiento p,Hannah Arendt
75,La condicion humana,Hannah Arendt
76,La libertad de ser libres,Hannah Arendt
77,La pluralidad del mundo,Hannah Arendt
78,La vida del espiritu,Hannah Arendt
79,Los origenes del totalitarismo,Hannah Arendt
80,Sobre la violencia,Hannah Arendt
81,Acerca de la generacion y la corrupcion,Aristóteles
82,Acerca del alma,Aristóteles
83,Acerca del cielo - Meteorologicos,Aristóteles
84,Aristoteles I,Aristóteles
85,Aristoteles II,Aristóteles
86,Constitucion de los atenienses - Economico,Aristóteles
87,Del sentido y lo sensible de la memoria y,Aristóteles
88,El arte de la politica,Aristóteles
89,Etica Nicomaquea - Etica Eudemia,Aristóteles
90,Fisica,Aristóteles
91,Fragmentos,Aristóteles
92,Investigacion sobre los animales,Aristóteles
93,La gran moral,Aristóteles
94,Metafisica,Aristóteles
95,Obra biologica,Aristóteles
96,Partes de los Animales - Marcha de los Ani,Aristóteles
97,Poetica - Magna Moralia,Aristóteles
98,Politica (trad. Patricio de Azcarate),Aristóteles
99,Politica,Aristóteles
100,Problemas,Aristóteles
101,Reproduccion de los animales,Aristóteles
102,Retorica,Aristóteles
103,Sobre las lineas indivisibles - Mecanica,Aristóteles
104,Tratados de Logica (Organon) I,Aristóteles
105,Tratados de Logica (Organon) II,Aristóteles
106,A lo marciano,Isaac Asimov
107,"Alpha Centauri, la estrella mas proxima",Isaac Asimov
108,Anochecer,Isaac Asimov
109,Asesinato en la convencion,Isaac Asimov
110,Asimov. Seleccion 1,Isaac Asimov
111,Asimov. Seleccion 2,Isaac Asimov
112,Asimov. Seleccion 3,Isaac Asimov
113,Asimov Cuentos Completos,Isaac Asimov
114,Azazel,Isaac Asimov
115,Banquetes de los Viudos Negros,Isaac Asimov
116,Bovedas de acero (trad. Luis G. Prado),Isaac Asimov
117,Bovedas de acero,Isaac Asimov
118,Breve historia de la quimica,Isaac Asimov
119,Cien preguntas basicas sobre la ciencia,Isaac Asimov
120,Civilizaciones Extraterrestres,Isaac Asimov
121,Cleon el emperador,Isaac Asimov
122,Como descubrimos el petroleo,Isaac Asimov
123,Como descubrimos los numeros,Isaac Asimov
124,Compre Jupiter,Isaac Asimov
125,Con la Tierra nos basta,Isaac Asimov
126,Constantinopla,Isaac Asimov
127,Cuarta generacion,Isaac Asimov
128,Cuentos completos I,Isaac Asimov
129,Cuentos completos II,Isaac Asimov
130,Cuentos paralelos,Isaac Asimov
131,De Saturno a Pluton,Isaac Asimov
132,De los numeros y su historia,Isaac Asimov
133,El Imperio Romano,Isaac Asimov
134,El Ranger del espacio,Isaac Asimov
135,El Robot Completo,Isaac Asimov
136,El archivo de los Viudos Negros,Isaac Asimov
137,El cercano Oriente,Isaac Asimov
138,El club de los enigmas,Isaac Asimov
139,El codigo genetico,Isaac Asimov
140,El cometa Halley,Isaac Asimov
141,El electron es zurdo y otros ensayos cient,Isaac Asimov
142,El fin de la eternidad (trad. Miguel Lopez,Isaac Asimov
143,El fin de la eternidad,Isaac Asimov
144,El gran sol de Mercurio,Isaac Asimov
145,El hombre bicentenario,Isaac Asimov
146,El hombre del bicentenario,Isaac Asimov
147,El libro de los sucesos,Isaac Asimov
148,El monstruo subatomico,Isaac Asimov
149,El nacimiento de Estados Unidos,Isaac Asimov
150,El paso de los milenios,Isaac Asimov
151,El planeta que no estaba,Isaac Asimov
152,El primer Asimov,Isaac Asimov
153,El robot humano,Isaac Asimov
154,El secreto del universo y otros ensayos ci,Isaac Asimov
155,El sol brilla luminoso,Isaac Asimov
156,El sol desnudo,Isaac Asimov
157,El universo,Isaac Asimov
158,En la arena estelar,Isaac Asimov
159,Estoy en Puertomarte sin Hilda,Isaac Asimov
160,Fotosintesis,Isaac Asimov
161,Fronteras,Isaac Asimov
162,Fronteras II,Isaac Asimov
163,Fundacion,Isaac Asimov
164,Fundacion e Imperio,Isaac Asimov
165,Fundacion y Tierra,Isaac Asimov
166,Grandes ideas de la ciencia,Isaac Asimov
167,Guia de la Biblia. Antiguo Testamento,Isaac Asimov
168,Guia de la Biblia. Nuevo Testamento,Isaac Asimov
169,Guia de la Tierra y el espacio,Isaac Asimov
170,Hacia la Fundacion,Isaac Asimov
171,Hijo del tiempo,Isaac Asimov
172,Introduccion a la ciencia - I. Ciencias Fi,Isaac Asimov
173,Introduccion a la ciencia - II. Ciencias B,Isaac Asimov
174,La Alta Edad Media,Isaac Asimov
175,La Republica romana,Isaac Asimov
176,La busqueda de los elementos,Isaac Asimov
177,La edad del futuro I,Isaac Asimov
178,La edad del futuro II,Isaac Asimov
179,La estrella de Belen y otros ensayos cient,Isaac Asimov
180,La formacion de America del Norte,Isaac Asimov
181,La formacion de Francia,Isaac Asimov
182,La formacion de Inglaterra,Isaac Asimov
183,La ira de la Tierra,Isaac Asimov
184,La maquina que gano la guerra,Isaac Asimov
185,La medicion del Universo,Isaac Asimov
186,La palabra clave y otros misterios,Isaac Asimov
187,La receta del tiranosaurio I,Isaac Asimov
188,La receta del tiranosaurio II,Isaac Asimov
189,La receta del tiranosaurio III,Isaac Asimov
190,La relatividad del error,Isaac Asimov
191,La tierra de Canaan,Isaac Asimov
192,La tragedia de la Luna,Isaac Asimov
193,La ultima pregunta,Isaac Asimov
194,La ultima respuesta,Isaac Asimov
195,Las amenazas de nuestro mundo,Isaac Asimov
196,Las corrientes del espacio,Isaac Asimov
197,Las lunas de Jupiter,Isaac Asimov
198,Las palabras y los mitos,Isaac Asimov
199,Los Estados Unidos desde 1816 hasta el fin,Isaac Asimov
200,Los Estados Unidos desde el final de la Gu,Isaac Asimov
201,Los anillos de Saturno,Isaac Asimov
202,Los egipcios,Isaac Asimov
203,Los enigmas de los Viudos Negros,Isaac Asimov
204,Los gases nobles,Isaac Asimov
205,Los griegos,Isaac Asimov
206,Los lagartos terribles y otros ensayos cie,Isaac Asimov
209,Los ojos hacen algo mas que ver,Isaac Asimov
210,Los piratas de los asteroides,Isaac Asimov
211,Los propios dioses (trad fact. ideas),Isaac Asimov
212,Los propios dioses,Isaac Asimov
213,Los robots,Isaac Asimov
214,Los robots del amanecer,Isaac Asimov
215,Los vientos del cambio,Isaac Asimov
216,Luces en el cielo,Isaac Asimov
217,Lucky Starr. Las lunas de Jupiter (Ilustra,Isaac Asimov
218,Mas cuentos de los Viudos Negros,Isaac Asimov
219,Memorias,Isaac Asimov
220,Momentos estelares de la ciencia,Isaac Asimov
221,Nemesis,Isaac Asimov
222,"Norby, el robot extravagante",Isaac Asimov
223,Nueve futuros,Isaac Asimov
224,Palabras en el mapa,Isaac Asimov
225,Preludio a la Fundacion,Isaac Asimov
226,Relatos de los Viudas Negras,Isaac Asimov
227,Robots e Imperio,Isaac Asimov
228,Segunda Fundacion,Isaac Asimov
229,Sobre la ciencia ficcion,Isaac Asimov
230,Soplo mortal,Isaac Asimov
231,Suenos de robot,Isaac Asimov
232,Trilogia del Imperio,Isaac Asimov
233,Trogloditas del manana,Isaac Asimov
234,Un guijarro en el cielo,Isaac Asimov
235,Viaje a la ciencia,Isaac Asimov
236,Viaje alucinante,Isaac Asimov
237,Viaje alucinante II,Isaac Asimov
238,Vida y tiempo,Isaac Asimov
239,Visiones de robot,Isaac Asimov
240,"Yo, robot",Isaac Asimov
241,Hay alguien ahi,Isaac Asimov
242,X representa lo desconocido,Isaac Asimov
243,Alias Grace,Margaret Atwood
244,Asesinato en la oscuridad,Margaret Atwood
245,Chicas bailarinas,Margaret Atwood
246,Desorden moral,Margaret Atwood
247,Dona Oraculo,Margaret Atwood
248,El Ano del Diluvio,Margaret Atwood
249,El asesino ciego,Margaret Atwood
250,El cuento de la criada,Margaret Atwood
251,El huevo de Barba Azul,Margaret Atwood
252,Erase una vez,Margaret Atwood
253,La maldicion de Eva,Margaret Atwood
254,La mujer comestible,Margaret Atwood
255,La novia ladrona,Margaret Atwood
256,La semilla de la bruja,Margaret Atwood
257,Los testamentos,Margaret Atwood
258,Nada se acaba,Margaret Atwood
259,Nueve cuentos malvados,Margaret Atwood
260,Ojo de gato,Margaret Atwood
261,Oryx y Crake,Margaret Atwood
262,Pagar (con la misma moneda),Margaret Atwood
263,Penelope y las doce criadas,Margaret Atwood
264,"Por ultimo, el corazon",Margaret Atwood
265,Resurgir,Margaret Atwood
266,Un dia es un dia,Margaret Atwood
267,Amor y amistad,Jane Austen
268,Cartas (Edicion Conmemorativa Bicentenario,Jane Austen
269,El castillo de Lesley,Jane Austen
270,Emma,Jane Austen
271,Juicio y sentimiento,Jane Austen
272,La abadia de Northanger,Jane Austen
273,Lady Susan (Ilustrado),Jane Austen
274,Lady Susan,Jane Austen
275,Lady Susan Los Watson,Jane Austen
276,Los Watson (Ilustrado),Jane Austen
277,Mansfield Park (Trad. Miguel Martin),Jane Austen
278,Mansfield Park (trad. Francisco Torres Oli,Jane Austen
279,Mansfield Park,Jane Austen
280,Orgullo y prejuicio (Alba),Jane Austen
281,Orgullo y prejuicio (trad. Ana Maria Rodri,Jane Austen
282,Orgullo y prejuicio,Jane Austen
283,Orgullo y prejuicio trad Jose C Vales,Jane Austen
284,Persuasion,Jane Austen
285,Sentido y sensibilidad,Jane Austen
286,Balcombe Jonathan - El Ingenio De Los Peces,Jonathan Balcombe
287,Blues de la calle Beale,James Baldwin
288,El blues de Beale Street,James Baldwin
289,Ingles para principiantes con Robinson Cru,James Baldwin
290,La habitacion de Giovanni,James Baldwin
291,Nadie sabe mi nombre,James Baldwin
292,Otro pais,James Baldwin
293,Deontología o ciencia de la moral,Jeremy Bentham
294,Karma,Annie Besant
295,Canas y barro,Vicente Blasco Ibañez
296,El Exorcista Ed Emece latinoamerica,William Peter Blatty
297,Cuentos de Boccacio,Giovanni Boccaccio
298,El Decameron (trad. Juan G. de Luaces),Giovanni Boccaccio
299,El Decameron,Giovanni Boccaccio
300,2666,Roberto Bolano
301,A la intemperie,Roberto Bolano
302,Amberes,Roberto Bolano
303,Amuleto,Roberto Bolano
304,El Tercer Reich,Roberto Bolano
305,El espiritu de la ciencia-ficcion,Roberto Bolano
306,El gaucho insufrible,Roberto Bolano
307,El secreto del mal,Roberto Bolano
308,Estrella distante,Roberto Bolano
309,La literatura nazi en America,Roberto Bolano
310,La pista de hielo,Roberto Bolano
312,Los detectives salvajes,Roberto Bolano
313,Los sinsabores del verdadero policia,Roberto Bolano
314,Monsieur Pain,Roberto Bolano
315,Nocturno de Chile,Roberto Bolano
316,Putas asesinas,Roberto Bolano
317,Sepulcros de vaqueros,Roberto Bolano
318,Tres,Roberto Bolano
319,Una novelita lumpen,Roberto Bolano
320,El Aleph,Jorge Luis Borges
321,Ficciones,Jorge Luis Borges
322,Historia universal de la infamia,Jorge Luis Borges
323,Poesia completa,Jorge Luis Borges
324,Cronicas marcianas completas,Ray Bradbury
325,Fahrenheit 451 Trad Francisco Abelenda,Ray Bradbury
326,Los muertos no resucitan y otros relatos policiacos,Ray Bradbury
327,Copia este libro,David Bravo
328,Cumbres borrascosas (Ed. Paz Kindelan),Emily Bronte
329,Cumbres borrascosas (Ilustrado),Emily Bronte
330,Cumbres borrascosas (Valdemar),Emily Bronte
331,Cumbres borrascosas (ed. Alba),Emily Bronte
332,Cumbres borrascosas (trad. Nivole d'Amonvi,Emily Bronte
333,Cumbres borrascosas,Emily Bronte
335,Poesia completa,Emily Bronte
336,El profesor,Charlotte Brontë
337,Jane Eyre (ed. Alba),Charlotte Brontë
